From	Entry	Entry Name	Protein names	Gene Names	Organism
"O43390	Isoform 3 of Heterogeneous nuclear ribonucleoprotein R"	O43390	HNRPR_HUMAN	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	HNRNPR HNRPR	Homo sapiens (Human)
"P46736	Isoform 3 of Lys-63-specific deubiquitinase BRCC36"	P46736	BRCC3_HUMAN	Lys-63-specific deubiquitinase BRCC36 (EC 3.4.19.-) (BRCA1-A complex subunit BRCC36) (BRCA1/BRCA2-containing complex subunit 3) (BRCA1/BRCA2-containing complex subunit 36) (BRISC complex subunit BRCC36)	BRCC3 BRCC36 C6.1A CXorf53	Homo sapiens (Human)
"Q13330	Isoform 3 of Metastasis-associated protein MTA1"	Q13330	MTA1_HUMAN	Metastasis-associated protein MTA1	MTA1	Homo sapiens (Human)
"P35658	Isoform 3 of Nuclear pore complex protein Nup214"	P35658	NU214_HUMAN	Nuclear pore complex protein Nup214 (214 kDa nucleoporin) (Nucleoporin Nup214) (Protein CAN)	NUP214 CAIN CAN KIAA0023	Homo sapiens (Human)
"P06748	Isoform 3 of Nucleophosmin"	P06748	NPM_HUMAN	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	Homo sapiens (Human)
"Q92925	Isoform 3 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2"	Q92925	SMRD2_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 (60 kDa BRG-1/Brm-associated factor subunit B) (BRG1-associated factor 60B (BAF60B))	SMARCD2 BAF60B	Homo sapiens (Human)
"O43670	Isoform 4 of BUB3-interacting and GLEBS motif-containing protein ZNF207"	O43670	ZN207_HUMAN	BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (hBuGZ) (Zinc finger protein 207)	ZNF207 BUGZ	Homo sapiens (Human)
"Q86VP1	Isoform 4 of Tax1-binding protein 1"	Q86VP1	TAXB1_HUMAN	Tax1-binding protein 1 (TRAF6-binding protein)	TAX1BP1 T6BP	Homo sapiens (Human)
"Q13428	Isoform 4 of Treacle protein"	Q13428	TCOF_HUMAN	Treacle protein (Treacher Collins syndrome protein)	TCOF1	Homo sapiens (Human)
"P06753	Isoform 4 of Tropomyosin alpha-3 chain"	P06753	TPM3_HUMAN	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5 (hTM5))	TPM3	Homo sapiens (Human)
"Q86VF2	Isoform 5 of Immunoglobulin-like and fibronectin type III domain-containing protein 1"	Q86VF2	IGFN1_HUMAN	Immunoglobulin-like and fibronectin type III domain-containing protein 1 (EEF1A2-binding protein 1) (KY-interacting protein 1)	IGFN1 EEF1A2BP1 KYIP1	Homo sapiens (Human)
"P98175	Isoform 5 of RNA-binding protein 10"	P98175	RBM10_HUMAN	RNA-binding protein 10 (G patch domain-containing protein 9) (RNA-binding motif protein 10) (RNA-binding protein S1-1 (S1-1))	RBM10 DXS8237E GPATC9 GPATCH9 KIAA0122	Homo sapiens (Human)
"Q9Y6M7	Isoform 7 of Sodium bicarbonate cotransporter 3"	Q9Y6M7	S4A7_HUMAN	Sodium bicarbonate cotransporter 3 (Electroneutral Na/HCO(3) cotransporter) (Sodium bicarbonate cotransporter 2) (Sodium bicarbonate cotransporter 2b (Bicarbonate transporter)) (Solute carrier family 4 member 7)	SLC4A7 BT NBC2 NBC2B NBC3 NBCn1 SBC2 SLC4A6	Homo sapiens (Human)
"P51608	Isoform B of Methyl-CpG-binding protein 2"	P51608	MECP2_HUMAN	Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2)	MECP2	Homo sapiens (Human)
"P14618	Isoform M1 of Pyruvate kinase PKM"	P14618	KPYM_HUMAN	Pyruvate kinase PKM (EC 2.7.1.40) (Cytosolic thyroid hormone-binding protein (CTHBP)) (Opa-interacting protein 3 (OIP-3)) (Pyruvate kinase 2/3) (Pyruvate kinase muscle isozyme) (Threonine-protein kinase PKM2 (EC 2.7.11.1)) (Thyroid hormone-binding protein 1 (THBP1)) (Tumor M2-PK) (Tyrosine-protein kinase PKM2 (EC 2.7.10.2)) (p58)	PKM OIP3 PK2 PK3 PKM2	Homo sapiens (Human)
"Q8NFY9	Kelch repeat and BTB domain-containing protein 8"	Q8NFY9	KBTB8_HUMAN	Kelch repeat and BTB domain-containing protein 8 (T-cell activation kelch repeat protein (TA-KRP))	KBTBD8 KIAA1842 TAKRP	Homo sapiens (Human)
"P35908	Keratin, type II cytoskeletal 2 epidermal"	P35908	K22E_HUMAN	Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e (CK-2e)) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e (K2e)) (Type-II keratin Kb2)	KRT2 KRT2A KRT2E	Homo sapiens (Human)
"Q07666	KH domain-containing, RNA-binding, signal transduction-associated protein 1"	Q07666	KHDR1_HUMAN	KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein (Sam68)) (p21 Ras GTPase-activating protein-associated p62) (p68)	KHDRBS1 SAM68	Homo sapiens (Human)
"Q969R8	KICSTOR complex protein ITFG2"	Q969R8	ITFG2_HUMAN	KICSTOR complex protein ITFG2 (Integrin-alpha FG-GAP repeat-containing protein 2)	ITFG2	Homo sapiens (Human)
"A0A2R8Y5H9	Kinase suppressor of Ras 1"	A0A2R8Y5H9	A0A2R8Y5H9_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	KSR1	Homo sapiens (Human)
"Q15058	Kinesin-like protein KIF14"	Q15058	KIF14_HUMAN	Kinesin-like protein KIF14	KIF14 KIAA0042	Homo sapiens (Human)
"A0A0C4DFL7	Lanosterol 14-alpha demethylase"	Q16850	CP51A_HUMAN	Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1 (CYP51A1)) (Cytochrome P450-14DM (Cytochrome P45014DM)) (Cytochrome P450LI) (Sterol 14-alpha demethylase)	CYP51A1 CYP51	Homo sapiens (Human)
"Q14847	LIM and SH3 domain protein 1"	Q14847	LASP1_HUMAN	LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein (MLN 50))	LASP1 MLN50	Homo sapiens (Human)
"E9PP16	Liprin-beta-2"	E9PP16	E9PP16_HUMAN	PPFIA binding protein 2	PPFIBP2	Homo sapiens (Human)
"P00338	L-lactate dehydrogenase A chain"	P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit (LDH-M)) (Renal carcinoma antigen NY-REN-59)	LDHA	Homo sapiens (Human)
"Q96KB5	Lymphokine-activated killer T-cell-originated protein kinase"	Q96KB5	TOPK_HUMAN	Lymphokine-activated killer T-cell-originated protein kinase (EC 2.7.12.2) (Cancer/testis antigen 84 (CT84)) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase (SPK)) (T-LAK cell-originated protein kinase)	PBK TOPK	Homo sapiens (Human)
"Q9Y2K7	Lysine-specific demethylase 2A"	Q9Y2K7	KDM2A_HUMAN	Lysine-specific demethylase 2A (EC 1.14.11.27) (CXXC-type zinc finger protein 8) (F-box and leucine-rich repeat protein 11) (F-box protein FBL7) (F-box protein Lilina) (F-box/LRR-repeat protein 11) (JmjC domain-containing histone demethylation protein 1A) ([Histone-H3]-lysine-36 demethylase 1A)	KDM2A CXXC8 FBL11 FBL7 FBXL11 JHDM1A KIAA1004	Homo sapiens (Human)
"P29375	Lysine-specific demethylase 5A"	P29375	KDM5A_HUMAN	Lysine-specific demethylase 5A (EC 1.14.11.67) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2 (RBBP-2)) ([histone H3]-trimethyl-L-lysine(4) demethylase 5A)	KDM5A JARID1A RBBP2 RBP2	Homo sapiens (Human)
"R4GMQ1	Lysine-specific histone demethylase"	R4GMQ1	R4GMQ1_HUMAN	Lysine-specific histone demethylase (EC 1.14.99.66)	KDM1A	Homo sapiens (Human)
"P14174	Macrophage migration inhibitory factor"	P14174	MIF_HUMAN	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor (GIF)) (L-dopachrome isomerase) (L-dopachrome tautomerase (EC 5.3.3.12)) (Phenylpyruvate tautomerase)	MIF GLIF MMIF	Homo sapiens (Human)
"Q14764	Major vault protein"	Q14764	MVP_HUMAN	Major vault protein (MVP) (Lung resistance-related protein)	MVP LRP	Homo sapiens (Human)
"G3V5T0	Maleylacetoacetate isomerase"	G3V5T0	G3V5T0_HUMAN	maleylacetoacetate isomerase (EC 5.2.1.2)	GSTZ1	Homo sapiens (Human)
"Q9NS73	MAP3K12-binding inhibitory protein 1"	Q9NS73	MBIP1_HUMAN	MAP3K12-binding inhibitory protein 1 (MAPK upstream kinase-binding inhibitory protein (MUK-binding inhibitory protein))	MBIP	Homo sapiens (Human)
"A8MXP9	Matrin-3"	A8MXP9	A8MXP9_HUMAN	Matrin-3	MATR3	Homo sapiens (Human)
"Q9Y6X3	MAU2 chromatid cohesion factor homolog"	Q9Y6X3	SCC4_HUMAN	MAU2 chromatid cohesion factor homolog (MAU-2) (Cohesin loading complex subunit SCC4 homolog)	MAU2 KIAA0892 SCC4	Homo sapiens (Human)
"Q15648	Mediator of RNA polymerase II transcription subunit 1"	Q15648	MED1_HUMAN	Mediator of RNA polymerase II transcription subunit 1 (Activator-recruited cofactor 205 kDa component (ARC205)) (Mediator complex subunit 1) (Peroxisome proliferator-activated receptor-binding protein (PBP) (PPAR-binding protein)) (Thyroid hormone receptor-associated protein complex 220 kDa component (Trap220)) (Thyroid receptor-interacting protein 2 (TR-interacting protein 2) (TRIP-2)) (Vitamin D receptor-interacting protein complex component DRIP205) (p53 regulatory protein RB18A)	MED1 ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A TRAP220 TRIP2	Homo sapiens (Human)
"Q96RQ3	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial"	Q96RQ3	MCCA_HUMAN	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA carboxylase biotin-containing subunit) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)	MCCC1 MCCA	Homo sapiens (Human)
"Q02252	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial"	Q02252	MMSA_HUMAN	Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial (MMSDH) (EC 1.2.1.27) (Aldehyde dehydrogenase family 6 member A1) (Malonate-semialdehyde dehydrogenase [acylating])	ALDH6A1 MMSDH	Homo sapiens (Human)
"Q8N6Q8	Methyltransferase-like protein 25"	Q8N6Q8	MET25_HUMAN	Probable methyltransferase-like protein 25 (EC 2.1.1.-)	METTL25 C12orf26	Homo sapiens (Human)
"Q66K74	Microtubule-associated protein 1S"	Q66K74	MAP1S_HUMAN	Microtubule-associated protein 1S (MAP-1S) (BPY2-interacting protein 1) (Microtubule-associated protein 8) (Variable charge Y chromosome 2-interacting protein 1 (VCY2-interacting protein 1) (VCY2IP-1))	MAP1S BPY2IP1 C19orf5 MAP8 VCY2IP1	Homo sapiens (Human)
"Q9H019	Mitochondrial fission regulator 1-like"	Q9H019	MFR1L_HUMAN	Mitochondrial fission regulator 1-like	MTFR1L FAM54B	Homo sapiens (Human)
"Q9BT17	Mitochondrial ribosome-associated GTPase 1"	Q9BT17	MTG1_HUMAN	Mitochondrial ribosome-associated GTPase 1 (GTP-binding protein 7) (Mitochondrial GTPase 1)	MTG1 GTPBP7	Homo sapiens (Human)
"B8ZZ87	Mitotic-spindle organizing protein 2B"	B8ZZ87	B8ZZ87_HUMAN	Mitotic spindle organizing protein 2B	MZT2B	Homo sapiens (Human)
"Q9BYG3	MKI67 FHA domain-interacting nucleolar phosphoprotein"	Q9BYG3	MK67I_HUMAN	MKI67 FHA domain-interacting nucleolar phosphoprotein (Nucleolar phosphoprotein Nopp34) (Nucleolar protein interacting with the FHA domain of pKI-67 (hNIFK))	NIFK MKI67IP NOPP34	Homo sapiens (Human)
"P26038	Moesin"	P26038	MOES_HUMAN	Moesin (Membrane-organizing extension spike protein)	MSN	Homo sapiens (Human)
"Q96T58	Msx2-interacting protein"	Q96T58	MINT_HUMAN	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	SPEN KIAA0929 MINT SHARP	Homo sapiens (Human)
"A0A0A0MQX8	Muscleblind-like protein 1"	A0A0A0MQX8	A0A0A0MQX8_HUMAN	Muscleblind like splicing regulator 1	MBNL1	Homo sapiens (Human)
"Q15773	Myeloid leukemia factor 2"	Q15773	MLF2_HUMAN	Myeloid leukemia factor 2 (Myelodysplasia-myeloid leukemia factor 2)	MLF2	Homo sapiens (Human)
"Q969H8	Myeloid-derived growth factor"	Q969H8	MYDGF_HUMAN	Myeloid-derived growth factor (MYDGF)	MYDGF C19orf10	Homo sapiens (Human)
"A0A499FIJ6	Myocardin-related transcription factor A"	A0A499FIJ6	A0A499FIJ6_HUMAN	Myocardin related transcription factor A	MRTFA	Homo sapiens (Human)
"F8W1R7	Myosin light polypeptide 6"	F8W1R7	F8W1R7_HUMAN	Myosin light chain 6	MYL6	Homo sapiens (Human)
"Q9UKX3	Myosin-13"	Q9UKX3	MYH13_HUMAN	Myosin-13 (Myosin heavy chain 13) (Myosin heavy chain, skeletal muscle, extraocular (MyHC-EO)) (Myosin heavy chain, skeletal muscle, laryngeal (MyHC-IIL)) (Superfast myosin)	MYH13	Homo sapiens (Human)
"Q7Z406	Myosin-14"	Q7Z406	MYH14_HUMAN	Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc (NMHC II-C))	MYH14 KIAA2034	Homo sapiens (Human)
"P35579	Myosin-9"	P35579	MYH9_HUMAN	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A (NMMHC-A)) (Non-muscle myosin heavy chain IIa (NMMHC II-a) (NMMHC-IIA))	MYH9	Homo sapiens (Human)
"E7EQ69	N-alpha-acetyltransferase 50"	E7EQ69	E7EQ69_HUMAN	N-alpha-acetyltransferase 50 (EC 2.3.1.258) (N-epsilon-acetyltransferase 50) (NatE catalytic subunit)	NAA50	Homo sapiens (Human)
"P20929	Nebulin"	P20929	NEBU_HUMAN	Nebulin	NEB	Homo sapiens (Human)
"A0A5H1ZRP4	Negative elongation factor B"	A0A5H1ZRP4	A0A5H1ZRP4_HUMAN	Negative elongation factor B	NELFB	Homo sapiens (Human)
"Q09666	Neuroblast differentiation-associated protein AHNAK"	Q09666	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	AHNAK PM227	Homo sapiens (Human)
"Q86UT6	NLR family member X1"	Q86UT6	NLRX1_HUMAN	NLR family member X1 (Caterpiller protein 11.3 (CLR11.3)) (Nucleotide-binding oligomerization domain protein 5) (Nucleotide-binding oligomerization domain protein 9)	NLRX1 NOD5 NOD9	Homo sapiens (Human)
"P05114	Non-histone chromosomal protein HMG-14"	P05114	HMGN1_HUMAN	Non-histone chromosomal protein HMG-14 (High mobility group nucleosome-binding domain-containing protein 1)	HMGN1 HMG14	Homo sapiens (Human)
"Q15233	Non-POU domain-containing octamer-binding protein"	Q15233	NONO_HUMAN	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein (p54(nrb)) (p54nrb)) (55 kDa nuclear protein (NMT55)) (DNA-binding p52/p100 complex, 52 kDa subunit)	NONO NRB54	Homo sapiens (Human)
"A8CG34	Nuclear envelope pore membrane protein POM 121C"	A8CG34	P121C_HUMAN	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2 (POM121-2)) (Pore membrane protein of 121 kDa C)	POM121C	Homo sapiens (Human)
"P49790	Nuclear pore complex protein Nup153"	P49790	NU153_HUMAN	Nuclear pore complex protein Nup153 (153 kDa nucleoporin) (Nucleoporin Nup153)	NUP153	Homo sapiens (Human)
"H7BY16	Nucleolin (Fragment)"	H7BY16	H7BY16_HUMAN	Nucleolin	NCL	Homo sapiens (Human)
"P19338	Nucleolin"	P19338	NUCL_HUMAN	Nucleolin (Protein C23)	NCL	Homo sapiens (Human)
"P06748	Nucleophosmin"	P06748	NPM_HUMAN	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	Homo sapiens (Human)
"C9JYA1	Nucleoporin NUP42 (Fragment)"	C9JYA1	C9JYA1_HUMAN	Nucleoporin NUP42 (Nucleoporin-like protein 2)	NUP42	Homo sapiens (Human)
"Q9NX40	OCIA domain-containing protein 1"	Q9NX40	OCAD1_HUMAN	OCIA domain-containing protein 1 (Ovarian cancer immunoreactive antigen domain containing 1) (Ovarian carcinoma immunoreactive antigen)	OCIAD1 ASRIJ OCIA	Homo sapiens (Human)
"Q96G74	OTU domain-containing protein 5"	Q96G74	OTUD5_HUMAN	OTU domain-containing protein 5 (EC 3.4.19.12) (Deubiquitinating enzyme A (DUBA))	OTUD5	Homo sapiens (Human)
"Q5BJF6	Outer dense fiber protein 2"	Q5BJF6	ODFP2_HUMAN	Outer dense fiber protein 2 (Cenexin) (Outer dense fiber of sperm tails protein 2)	ODF2	Homo sapiens (Human)
"Q9BXB5	Oxysterol-binding protein-related protein 10"	Q9BXB5	OSB10_HUMAN	Oxysterol-binding protein-related protein 10 (ORP-10) (OSBP-related protein 10)	OSBPL10 ORP10 OSBP9	Homo sapiens (Human)
"Q9UKJ1	Paired immunoglobulin-like type 2 receptor alpha"	Q9UKJ1	PILRA_HUMAN	Paired immunoglobulin-like type 2 receptor alpha (Cell surface receptor FDF03) (Inhibitory receptor PILR-alpha)	PILRA	Homo sapiens (Human)
"Q9UL41	Paraneoplastic antigen Ma3"	Q9UL41	PNMA3_HUMAN	Paraneoplastic antigen Ma3	PNMA3 MA3	Homo sapiens (Human)
"P62937	Peptidyl-prolyl cis-trans isomerase A"	P62937	PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A)	PPIA CYPA	Homo sapiens (Human)
"P23284	Peptidyl-prolyl cis-trans isomerase B"	P23284	PPIB_HUMAN	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin (SCYLP))	PPIB CYPB	Homo sapiens (Human)
"Q9UNP9	Peptidyl-prolyl cis-trans isomerase E"	Q9UNP9	PPIE_HUMAN	Peptidyl-prolyl cis-trans isomerase E (PPIase E) (EC 5.2.1.8) (Cyclophilin E) (Cyclophilin-33) (Rotamase E)	PPIE CYP33	Homo sapiens (Human)
"Q02790	Peptidyl-prolyl cis-trans isomerase FKBP4"	Q02790	FKBP4_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP4 (PPIase FKBP4) (EC 5.2.1.8) (51 kDa FK506-binding protein (FKBP51)) (52 kDa FK506-binding protein (52 kDa FKBP) (FKBP-52)) (59 kDa immunophilin (p59)) (FK506-binding protein 4 (FKBP-4)) (FKBP59) (HSP-binding immunophilin (HBI)) (Immunophilin FKBP52) (Rotamase)	FKBP4 FKBP52	Homo sapiens (Human)
"A0A5H1ZRS1	Pericentriolar material 1 protein"	A0A5H1ZRS1	A0A5H1ZRS1_HUMAN	Pericentriolar material 1	PCM1	Homo sapiens (Human)
"Q06830	Peroxiredoxin-1"	Q06830	PRDX1_HUMAN	Peroxiredoxin-1 (EC 1.11.1.24) (Natural killer cell-enhancing factor A (NKEF-A)) (Proliferation-associated gene protein (PAG)) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Thioredoxin-dependent peroxiredoxin 1)	PRDX1 PAGA PAGB TDPX2	Homo sapiens (Human)
"P32119	Peroxiredoxin-2"	P32119	PRDX2_HUMAN	Peroxiredoxin-2 (EC 1.11.1.24) (Natural killer cell-enhancing factor B (NKEF-B)) (PRP) (Thiol-specific antioxidant protein (TSA)) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thioredoxin-dependent peroxiredoxin 2)	PRDX2 NKEFB TDPX1	Homo sapiens (Human)
"Q92576	PHD finger protein 3"	Q92576	PHF3_HUMAN	PHD finger protein 3	PHF3 KIAA0244	Homo sapiens (Human)
"Q9NSD9	Phenylalanine--tRNA ligase beta subunit"	Q9NSD9	SYFB_HUMAN	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit (PheRS))	FARSB FARSLB FRSB	Homo sapiens (Human)
"Q8WWQ0	PH-interacting protein"	Q8WWQ0	PHIP_HUMAN	PH-interacting protein (PHIP) (DDB1- and CUL4-associated factor 14) (IRS-1 PH domain-binding protein) (WD repeat-containing protein 11)	PHIP DCAF14 WDR11	Homo sapiens (Human)
"A0A3B3ISI3	Phosphatidylinositide phosphatase SAC2"	A0A3B3ISI3	A0A3B3ISI3_HUMAN	Inositol polyphosphate-5-phosphatase F	INPP5F	Homo sapiens (Human)
"F8W9P4	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit"	F8W9P4	F8W9P4_HUMAN	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta)	PIK3CD	Homo sapiens (Human)
"A0A494C0G1	Phosphoacetylglucosamine mutase"	A0A494C0G1	A0A494C0G1_HUMAN	Phosphoacetylglucosamine mutase (PAGM) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase)	PGM3	Homo sapiens (Human)
"P00558	Phosphoglycerate kinase 1"	P00558	PGK1_HUMAN	Phosphoglycerate kinase 1 (EC 2.7.11.1) (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2 (PRP 2))	PGK1 PGKA	Homo sapiens (Human)
"Q8NEL9	Phospholipase DDHD1"	Q8NEL9	DDHD1_HUMAN	Phospholipase DDHD1 (EC 3.1.1.111) (EC 3.1.1.32) (DDHD domain-containing protein 1) (Phosphatidic acid-preferring phospholipase A1 homolog (PA-PLA1) (EC 3.1.1.118)) (Phospholipid sn-1 acylhydrolase)	DDHD1 KIAA1705	Homo sapiens (Human)
"O15067	Phosphoribosylformylglycinamidine synthase"	O15067	PUR4_HUMAN	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase (FGAR amidotransferase) (FGAR-AT)) (Formylglycinamide ribotide amidotransferase) (Phosphoribosylformylglycineamide amidotransferase)	PFAS KIAA0361	Homo sapiens (Human)
"Q14651	Plastin-1"	Q14651	PLSI_HUMAN	Plastin-1 (Intestine-specific plastin (I-plastin))	PLS1	Homo sapiens (Human)
"P13796	Plastin-2"	P13796	PLSL_HUMAN	Plastin-2 (L-plastin) (LC64P) (Lymphocyte cytosolic protein 1 (LCP-1))	LCP1 PLS2	Homo sapiens (Human)
"Q15365	Poly(rC)-binding protein 1"	Q15365	PCBP1_HUMAN	Poly(rC)-binding protein 1 (Alpha-CP1) (Heterogeneous nuclear ribonucleoprotein E1 (hnRNP E1)) (Nucleic acid-binding protein SUB2.3)	PCBP1	Homo sapiens (Human)
"P11940	Polyadenylate-binding protein 1"	P11940	PABP1_HUMAN	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	PABPC1 PAB1 PABP PABP1 PABPC2	Homo sapiens (Human)
"Q9H074	Polyadenylate-binding protein-interacting protein 1"	Q9H074	PAIP1_HUMAN	Polyadenylate-binding protein-interacting protein 1 (PABP-interacting protein 1) (PAIP-1) (Poly(A)-binding protein-interacting protein 1)	PAIP1	Homo sapiens (Human)
"Q8IXJ9	Polycomb group protein ASXL1"	Q8IXJ9	ASXL1_HUMAN	Polycomb group protein ASXL1 (Additional sex combs-like protein 1)	ASXL1 KIAA0978	Homo sapiens (Human)
"Q8TCS8	Polyribonucleotide nucleotidyltransferase 1, mitochondrial"	Q8TCS8	PNPT1_HUMAN	Polyribonucleotide nucleotidyltransferase 1, mitochondrial (EC 2.7.7.8) (3'-5' RNA exonuclease OLD35) (PNPase old-35) (Polynucleotide phosphorylase 1 (PNPase 1)) (Polynucleotide phosphorylase-like protein)	PNPT1 PNPASE	Homo sapiens (Human)
"A5A3E0	POTE ankyrin domain family member F"	A5A3E0	POTEF_HUMAN	POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)	POTEF A26C1B	Homo sapiens (Human)
"P26196	Probable ATP-dependent RNA helicase DDX6"	P26196	DDX6_HUMAN	Probable ATP-dependent RNA helicase DDX6 (EC 3.6.4.13) (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK)	DDX6 HLR2 RCK	Homo sapiens (Human)
"A0A2R8Y5P7	Probable histidine--tRNA ligase, mitochondrial"	A0A2R8Y5P7	A0A2R8Y5P7_HUMAN	histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase)	HARS2	Homo sapiens (Human)
"Q9Y4C8	Probable RNA-binding protein 19"	Q9Y4C8	RBM19_HUMAN	Probable RNA-binding protein 19 (RNA-binding motif protein 19)	RBM19 KIAA0682	Homo sapiens (Human)
"Q53EL6	Programmed cell death protein 4"	Q53EL6	PDCD4_HUMAN	Programmed cell death protein 4 (Neoplastic transformation inhibitor protein) (Nuclear antigen H731-like) (Protein 197/15a)	PDCD4 H731	Homo sapiens (Human)
"P35232	Prohibitin"	P35232	PHB1_HUMAN	Prohibitin 1	PHB1 PHB	Homo sapiens (Human)
"Q9UQ80	Proliferation-associated protein 2G4"	Q9UQ80	PA2G4_HUMAN	Proliferation-associated protein 2G4 (Cell cycle protein p38-2G4 homolog (hG4-1)) (ErbB3-binding protein 1)	PA2G4 EBP1	Homo sapiens (Human)
"O14511	Pro-neuregulin-2, membrane-bound isoform"	O14511	NRG2_HUMAN	Pro-neuregulin-2, membrane-bound isoform (Pro-NRG2)	NRG2 NTAK	Homo sapiens (Human)
"Q9BRP4	Proteasomal ATPase-associated factor 1"	Q9BRP4	PAAF1_HUMAN	Proteasomal ATPase-associated factor 1 (Protein G-16) (WD repeat-containing protein 71)	PAAF1 WDR71	Homo sapiens (Human)
"J3KN16	Proteasome adapter and scaffold protein ECM29"	J3KN16	J3KN16_HUMAN	Proteasome adapter and scaffold protein ECM29 (Proteasome-associated protein ECM29 homolog)	ECPAS	Homo sapiens (Human)
"P25787	Proteasome subunit alpha type-2"	P25787	PSA2_HUMAN	Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3) (Proteasome subunit alpha-2 (alpha-2))	PSMA2 HC3 PSC3	Homo sapiens (Human)
"P28072	Proteasome subunit beta type-6"	P28072	PSB6_HUMAN	Proteasome subunit beta type-6 (EC 3.4.25.1) (Macropain delta chain) (Multicatalytic endopeptidase complex delta chain) (Proteasome delta chain) (Proteasome subunit Y) (Proteasome subunit beta-1 (beta-1))	PSMB6 LMPY Y	Homo sapiens (Human)
